URL's successfully downloaded,Size of the downloaded file,Number of Outlinks,Content-Type,,,
https://cinema.usc.edu/studentaffairs/conduct.cfm,28273,87,text/html,,,
https://cinema.usc.edu/studentaffairs/ctpr.cfm,25974,87,text/html,,,
https://cinema.usc.edu/studentaffairs/productionCriticalUndergrad.cfm,28254,87,text/html,,,
https://cinema.usc.edu/scholarships/scholarshipOnlineApp.cfm,25120,89,text/html,,,
https://cinema.usc.edu/studentaffairs/processing.cfm,24535,90,text/html,,,
https://cinema.usc.edu/studentaffairs/animation.cfm,23816,86,text/html,,,
https://cinema.usc.edu/studentaffairs/advisement.cfm,30824,88,text/html,,,
https://cinema.usc.edu/studentaffairs/services.cfm,24345,87,text/html,,,
https://cinema.usc.edu/studentaffairs/prodGraduate.cfm,36459,88,text/html,,,
https://cinema.usc.edu/financialaid/index.cfm,30069,96,text/html,,,
https://cinema.usc.edu/studentaffairs/dclearance.cfm,43644,89,text/html,,,
https://cinema.usc.edu/studentaffairs/nonMajor.cfm,24438,89,text/html,,,
https://cinema.usc.edu/studentaffairs/index.cfm,23356,86,text/html,,,
https://cinema.usc.edu/studentaffairs/academicpetitions.cfm,23744,86,text/html,,,
https://cinema.usc.edu/sloan/index.cfm,32839,91,text/html,,,
https://cinema.usc.edu/studentaffairs/resources.cfm,25310,99,text/html,,,
https://cinema.usc.edu/studentaffairs/writing.cfm,26579,87,text/html,,,
https://cinema.usc.edu/studentgroups/index.cfm,30516,92,text/html,,,
https://cinema.usc.edu/studentaffairs/grade.cfm,24475,89,text/html,,,
https://cinema.usc.edu/studentaffairs/registration.cfm,26880,88,text/html,,,
https://cinema.usc.edu/studentaffairs/leave.cfm,26902,87,text/html,,,
https://cinema.usc.edu/admissions/procedures/animation/firstyearprocedures.cfm,40541,81,text/html,,,
https://cinema.usc.edu/admissions/procedures/mediastudies/graduateprocedures.cfm,48087,82,text/html,,,
https://cinema.usc.edu/admissions/procedures/animation/transferprocedures.cfm,39151,80,text/html,,,
https://cinema.usc.edu/admissions/procedures/production/transferprocedures.cfm,42938,80,text/html,,,
https://cinema.usc.edu/admissions/procedures/imap/firstyearprocedures.cfm,45027,88,text/html,,,
https://cinema.usc.edu/admissions/procedures/mediastudies/usctransferprocedures.cfm,32318,77,text/html,,,
https://cinema.usc.edu/admissions/procedures/mediastudies/transferprocedures.cfm,39156,81,text/html,,,
https://cinema.usc.edu/admissions/procedures/interactive/firstyearprocedures.cfm,48454,83,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15034,24580,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15032,22594,80,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15272,38539,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15031,23597,80,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14380,23727,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15225,24168,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14136,23500,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14137,26065,77,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14134,23887,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13288,24526,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14373,21519,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14370,24301,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14369,21581,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14365,25413,80,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15213,29172,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14366,24071,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13274,29674,91,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13032,24919,80,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15211,28029,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14364,28898,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13034,24368,80,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15001,21287,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14392,28634,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13060,24908,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14149,27300,82,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14642,21288,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14885,21463,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14883,30595,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14880,24664,80,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13550,21832,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13790,22351,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13107,23184,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13348,31030,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14679,21341,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14437,27063,86,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13109,24581,81,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14677,21408,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13589,24860,77,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13344,24206,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14676,24252,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14674,24280,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14432,21800,77,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13340,21192,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14671,26268,78,text/html,,,
https://https://cinema.usc.edu/alumni/council.cfm,47877,157,text/html,,,
https://cinema.usc.edu/directories/staff.cfm,58002,125,text/html,,,
https://cinema.usc.edu/festivals/,24794,88,text/html,,,
https://cinema.usc.edu/facilities/libraries.cfm,20836,67,text/html,,,
https://cinema.usc.edu/development_new/index.cfm,29029,90,text/html,,,
https://cinema.usc.edu/admissions/apply.cfm,47065,100,text/html,,,
https://cinema.usc.edu/imap/index.cfm,31914,85,text/html,,,
https://cinema.usc.edu/about/board.cfm,25130,84,text/html,,,
https://cinema.usc.edu/announcements/index.cfm,56151,125,text/html,,,
https://cinema.usc.edu/production/index.cfm,32495,85,text/html,,,
https://cinema.usc.edu/directories/,17120,66,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15989,27356,78,text/html,,,
https://cinema.usc.edu/studentaffairs/,23356,86,text/html,,,
https://cinema.usc.edu/summer/onlineapplication.cfm,23040,73,text/html,,,
https://cinema.usc.edu/animation/index.cfm,38137,89,text/html,,,
https://cinema.usc.edu/facilities/stages.cfm,24882,67,text/html,,,
https://cinema.usc.edu/facilities/labs_classrooms.cfm,28947,67,text/html,,,
https://cinema.usc.edu/writing/index.cfm,35436,92,text/html,,,
https://cinema.usc.edu/programs/other.cfm,20645,85,text/html,,,
https://cinema.usc.edu/producing/index.cfm,27615,81,text/html,,,
https://cinema.usc.edu/faculty/,22848,66,text/html,,,
